"Ticker","Date","Adj_Close","company_id","stock_ticker","company","date_ipo","market_capitalization","pet_market_segment","company_size"
"CHWY","2019-06-17 00:00:00",33.700001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-18 00:00:00",37.360001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-19 00:00:00",34.900002,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-20 00:00:00",34.23,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-21 00:00:00",32.279999,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-24 00:00:00",31.530001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-25 00:00:00",31.799999,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-26 00:00:00",32.369999,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-27 00:00:00",33.310001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-06-28 00:00:00",35,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-01 00:00:00",33.650002,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-02 00:00:00",33.009998,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-03 00:00:00",33.82,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-05 00:00:00",34.27,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-08 00:00:00",34.400002,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-09 00:00:00",33.290001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-10 00:00:00",33.209999,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-11 00:00:00",33.380001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-12 00:00:00",33.959999,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-15 00:00:00",33.09,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-16 00:00:00",32.810001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-17 00:00:00",31.66,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-18 00:00:00",32.849998,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-19 00:00:00",30.690001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-22 00:00:00",30.209999,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-23 00:00:00",29.610001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-24 00:00:00",32.700001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-25 00:00:00",33.75,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-26 00:00:00",32.450001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-29 00:00:00",34.16,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-30 00:00:00",34.43,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-07-31 00:00:00",33.560001,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
"CHWY","2019-08-01 00:00:00",33.580002,1,"CHWY","Chewy, Inc,","2019-06-14","13.95B","Pet Supplies, E-commerce",21300
